Hospedar,"5Xhf+Mf Puerto Rico, Misiones, N3334 Puerto Rico, Misiones",03743 51-5151,Hospedar,https://hospedarhospedaje.negocio.site/,-26.8208753,-55.0498731,alojamiento
Patio Del Puerto Hotel Boutique,"Av. San Martín 1326, N3334 Puerto Rico, Misiones",03743 42-1153,Patio Del Puerto Hotel Boutique,,-26.8103609,-55.0492451,alojamiento
Hotel Paris,"Av. San Martín 1527, Puerto Rico, Misiones",03743 47-6500,Hotel Paris,,-26.8067382,-55.0477823,alojamiento
Complejo Don Raul,"Colonia Mbopicua Ruta Nacional No 12, Km 1467, Puerto Rico",03743 44-8156,Complejo Don Raul,http://www.complejodonraul.com.ar/,-26.8444129,-55.0650053,alojamiento
Hotel Rio Abajo Apart,"Libertador Gral. San Martín, Misiones",03743 15-41-2006,,,-26.7944656,-55.0477387,alojamiento
Complejo Don Raúl,Misiones,,,,-26.8618557,-55.0771243,alojamiento
Hotel Suizo,"Puerto Rico, Misiones",,,,-26.7995514,-55.0462705,alojamiento
Casona Rural,"Rn12, Misiones",03743 42-0471,,,-26.84798,-55.0665625,alojamiento
Paranay Complejo Turístico - Cabañas Y Camping,"Rn12, Misiones",03751 15-40-5758,,https://paranay-complejo-turistico-cabanas-y-camping.negocio.site/,-26.688579,-54.8346035,alojamiento
Hotel Cabañas Del Prado,"Ruta Nacional 12, 12 1475, N3334 Puerto Rico, Misiones",03743 47-6989,Hotel Cabañas Del Prado,,-26.8212636,-55.0235119,alojamiento
Hotel - Hospedaje Los Bungalows,"V R O De La Plata 328, Puerto Rico, Misiones",03743 47-7055,Hotel - Hospedaje Los Bungalows,,-26.8212226,-55.0478471,alojamiento
Vuelta De Obligado 2300,"2300,, Vuelta De Obligado, Puerto Rico, Misiones",,Vuelta De Obligado 2300,,-26.814138,-55.2121515,atraccion
Plaza Del Niño,"Av. 9 De Julio 2780, 3334, N3334 Puerto Rico, Misiones",,Plaza Del Niño,,-26.8182039,-55.2104355,atraccion
Municipalidad De Puerto Rico,"Av. San Martín 2600, Puerto Rico, Misiones",03743 42-0220,Municipalidad De Puerto Rico,http://www.puertorico.gov.ar/,-26.8171729,-55.2162903,atraccion
Plaza El Libertador General San Martin,"Av. San Martín 3334, Puerto Rico, Misiones",,,,-26.796589,-55.2123445,atraccion
Plaza 9 De Julio,"Buenos Aires 388, N3334 Puerto Rico, Misiones",,,,-26.8418412,-54.9926143,atraccion
Parque Natural Municipal,"Juan Xxiii 357, Puerto Rico, Misiones",,Parque Natural Municipal,,-26.8203192,-55.2087729,atraccion
Vivero Edelweiss,"Libertador Gral. San Martín, Misiones",03743 42-0078,,,-26.8191946,-55.2137255,atraccion
Selva Extrema Turismo,"Mariano Moreno 22, N3334 Puerto Rico, Misiones",03743 41-7721,,http://www.selvaextrema.tur.ar/,-26.8096658,-55.2084513,atraccion
Costanera Puerto Rico,Misiones,,Costanera Puerto Rico,,-26.7925847,-55.2162193,atraccion
Reserva Barrio Kolping,Misiones,,,,-26.8124233,-55.2072643,atraccion
Cine Teatro San Martín Puerto Rico,"Nº1874, Av. San Martín, Puerto Rico, Misiones",03743 42-2400,,https://www.facebook.com/Cine-Teatro-San-Martin-Puerto-Rico-Misiones-611780998973270/,-26.8095504,-55.2146647,atraccion
Grupo Scout Stella Maris Nro 310,"Pío Xii, Puerto Rico, Misiones",,,,-26.8173053,-55.213876,atraccion
Plaza De La Madre,"Puerto Rico, Misiones",,,,-26.8022642,-55.2091477,atraccion
Plaza De La Cooperación,"Puerto Rico, Misiones",,,,-26.8115016,-55.2069317,atraccion
Plaza Padre Marx,"Puerto Rico, Misiones",,Plaza Padre Marx,,-26.8125492,-55.2092298,atraccion
Lapacho Centenario,"Puerto Rico, Misiones",,Lapacho Centenario,,-26.8206725,-55.2134936,atraccion
Complejo Turístico El Brasilero,"Puerto Rico, Misiones",03743 43-1426,,,-26.812451,-55.1822857,atraccion
Hamburguesería Tito,"12, Puerto Rico, Misiones",03743 47-7261,Hamburguesería Tito,,-26.8225766,-55.0512037,restaurante
0Km Restopub,"2116,, Av. San Martín 1971, Misiones",03743 42-1549,,http://www.facebook.com/okm.restopub.7?fref=ts,-26.8105001,-55.0493086,restaurante
Mr. Chicho,"Av. Córdoba 1806, Puerto Rico, Misiones",,,,-26.8089665,-55.0464263,restaurante
Brazuka'S Resto Bar,"Av. San Martín 1875, Puerto Rico, Misiones",03743 42-0439,Brazuka'S Resto Bar,,-26.8094433,-55.0495514,restaurante
Don Justo Pizzería,"Av. San Martín 2275, Puerto Rico, Misiones",03743 47-7750,,,-26.8138206,-55.0494198,restaurante
Rotiseria Los Troncos,"Av. San Martín 2758, Puerto Rico, Misiones",03743 47-7907,Rotiseria Los Troncos,,-26.8197121,-55.0509137,restaurante
Rotisería Buen Gusto,"Av. San Martín 89, Puerto Rico, Misiones",,Rotisería Buen Gusto,,-26.8059034,-55.0474316,restaurante
Doña Luisa Rotiseria &Catering,"Av. San Martín 89, Puerto Rico, Misiones",03751 53-1104,,,-26.8075663,-55.0487502,restaurante
Todo A La Brasa,"Avda 9 De Julio Y, Padre Arnoldo, N3334 Puerto Rico, Misiones",03743 41-3660,,https://todo-a-la-brasa.negocio.site/,-26.8190186,-55.0456961,restaurante
Sobre Gustos,"Comandante Andresito 179, N3334 Puerto Rico, Misiones",03743 49-9332,,,-26.8083222,-55.0490598,restaurante
Rotisería Los Abuelos,"Gobernador Roca 175 Barrio Culmey Casa B""18, N3334 Puerto Rico, Misiones",42-1032,,https://www.facebook.com/losabuelos.rotiseria.52,-26.8004591,-55.0484916,restaurante
Guayares Rotiseria,"Gral. Manuel Belgrano, Puerto Rico, Misiones",,Guayares Rotiseria,,-26.8073415,-55.0551802,restaurante
Puerto Padel Resto Bar,"Paraná 50, Puerto Rico, Misiones",03743 42-6313,,,-26.8097502,-55.0504202,restaurante
Restaurante Blanuch,"Puerto Rico, Misiones",03743 42-0868,,,-26.8115185,-55.0265058,restaurante
El Carrito,"Puerto Rico, Misiones",,El Carrito,,-26.8129764,-55.0454207,restaurante
Status Rotiseria,"Puerto Rico, Misiones",,,,-26.8220497,-55.052573,restaurante
Asador Criollo La Chacra,"Puerto Rico, Misiones",,,,-26.8212441,-55.0473274,restaurante
Fuegos,"Puerto Rico, Misiones",,Fuegos,,-26.8203732,-55.0511498,restaurante
Comedor Brazuca,"Puerto Rico, Misiones",03743 51-4499,Comedor Brazuca,,-26.8081409,-55.0449525,restaurante
"Parrilla ""Tío Otto""","Rn12, N3334Gra Puerto Rico, Misiones",03743 15-51-4093,"Parrilla ""Tío Otto""",,-26.8206444,-55.0483377,restaurante
